,iiSorの実在庫状況,,,,,,,,,
,種別,パーツナンバー,シリアルナンバー,良品/不良品,振替え可否,"使用状況・
予定","担当・
管理者",相手部署,"相手部署
担当者",備考
,MAIN(AH),EZNA-010100-00,18A02,良品,振替NG,未使用,,,,
,MAIN(AH),EZNA-010100-00,18A03,良品,振替NG,未使用,,,,在宅1号で使用
,MAIN(AH),EZNA-010100-00,19A001,良品,振替NG,レンタル済み,佐野,技開・ＢＥＡＴ,上村 拓人,"レンタル SUB(21B003A)とセット
▼AeLink制御pondeパック
iisor-develop-environment:iisor-bullseye-pondeapps:c571cec
iisor-st:iisor_aehost:4daece1
iisor-uboot:main-anklehold:3984caf
linux:main-anklehold:b5b9cbb71afc
napsystem:nap64-2ndstage:6e7e7ed9
pondelink:plane:6599296
mount_win:mount_win_i_drive:2d32fc2"
,MAIN(AH),EZNA-010100-00,19A005,不良品,振替NG,未使用,,,,別で電源居使えそうだけど、microUSBが乗っていない
,MAIN(AH),EZNA-010100-00,19A041,不良品,振替NG,未使用,,,,勝手に落ちる
,MAIN(AH),EZNA-010100-00,19A105,良品,振替NG,未使用,,,,
,MAIN(AH),EZNA-010100-00,19A109,良品,振替NG,未使用,,,,2023年5月故障から復活
,MAIN(AH),EZNA-010100-00,19A204,不良品,振替NG,未使用,,,,スピーカー鳴らない/R21 10K→4.7K
,MAIN(AH),EZNA-010100-00,19A225,良品,振替NG,未使用,,,,2023年5月故障から復活
,MAIN(AH),EZNA-010100-00,19A283,不良品,振替NG,使用中,山中,,,2023年5月故障から復活
,MAIN(AH),EZNA-010100-00,19A304,不良品,振替NG,未使用,山中,,,"(墓場から復活品)　DIOショート?/USB上下NG/U20なし/LANポート再生品デバッグ用
※たすくさん使用中"
,MAIN(AH),EZNA-010100-00,19A320,不良品,振替NG,使用中,山中,NXT管理,,"POE使えない。USB給電とれている
(2022年12月)
壊れたため、20A00302と交換済み。振替えのパーツナンバーは同じなので物だけの交換
テストもかねて羽田で使用。
---
(2022年11月)
レンタル→買い取りに変更
振替申請(DB20044279)
※実際は、-00ですが、データ上-0005で振替えを実施"
,MAIN(AH),EZNA-010100-00,19A365,良品,振替NG,販売済み,辻脇,製造・製技・生技・ＥＥＥ,中尾 亮太,2022年10月分で振替申請(DB00193103)
,MAIN(AH),EZNA-010100-00,19A366,良品,振替NG,販売済み,辻脇,製造・製技・生技・ＥＥＥ,中尾 亮太,2022年10月分で振替申請(DB00193103)
,MAIN(AH),EZNA-010100-00,19A378,良品,振替NG,販売済み,日高,技開・ダイサー技・機能開発・Ｄ２ソフト,永井 和樹,"iisor-develop-environment:iisor-bullseye-pondeapps:1af272b
iisor-st:iisor_aehost:4daece1
iisor-uboot:main-anklehold:3984caf
linux-kernel-v5.10:iisor-ah-custom:feeab16d3
napsystem:nap64-2ndstage:edca2145
pondelink:plane:6599296
iisorlibs:master:17fb5f3
mount_win:mount_win_i_drive:2d32fc2
---
2022年11月分で振替申請
※実際は-00ですが、データ上-0005で振替えを実施"
,MAIN(AH),EZNA-010100-00,20A00049,良品,振替NG,未使用,,,,(墓場から復活品)　LANポート再生品デバッグ用
,MAIN(AH),EZNA-010100-00,20A00086,良品,振替NG,未使用,,,,2023年5月故障から復活
,MAIN(AH),EZNA-010100-00,20A00134,不良品,振替NG,使用中,山中,製造・製技・マルチ・Ｍｅｇｕｒｉ,小谷 将也,イーサ動かない、2023/3/2発送
,MAIN(AH),EZNA-010100-0005,20A00135,不良品,振替OK,未使用,,,,旧QR用　R132ショート
,MAIN(AH),EZNA-010100-0005,20A00251,良品,振替OK,未使用,,,,ユニットから返却
,MAIN(AH),EZNA-010100-0005,20A00269,良品,振替OK,販売済み,辻脇,製造・製技・生技・ＥＥＥ,中尾 亮太,2022年10月分で振替申請(DB00193103)
,MAIN(AH),EZNA-010100-0005,20A00275,良品,振替OK,販売済み,日高,技開・ダイサー技・機能開発・Ｄ２ソフト,永井 和樹,"2022年9月分で振替え済み(DB00190388)
iisor-develop-environment:iisor-bullseye-pondeapps:03af330
iisor-st:iisor_aehost:4daece1
iisor-uboot:main-anklehold:3984caf
linux-kernel-v5.10:iisor-ah-custom:feeab16d3
napsystem:nap64-2ndstage:9c06eec4
pondelink:plane:6599296"
,MAIN(AH),EZNA-010100-0005,20A00281,不良品,振替OK,使用中,山中,製造・製技・マルチ・Ｍｅｇｕｒｉ,小谷 将也,rebootした後、イーサつながらない、2023/3/2発送
,MAIN(AH),EZNA-010100-0005,20A00286,良品,振替NG,販売済み,藤村,,,2023年3月R190260→R200170振替(DB10085635)茅野林さん、基板検査装置にて使用中
,MAIN(AH),EZNA-010100-0005,20A00291,良品,振替OK,販売済み,平田,技開・精Ｄ技・プロダクトＳ・ＤＡ,佐藤 記一,2021年9月振替え済み_R210174 ロギングシステムの開発(DB00135978)
,MAIN(AH),EZNA-010100-0005,20A00295,良品,振替OK,販売済み,平田/山中,技開・精Ｄ技・プロダクトＳ・ＤＡ,松坂 謙一郎,長谷加工室?であれば、2021年9月に振替え済み_020040　精ダ技(DB00134251)
,MAIN(AH),EZNA-010100-0005,20A00302,良品,振替OK,販売済み,日高,アプリ大学,津村 一輝,"iisor-develop-environment:iisor-bullseye-pondeapps:1af272b
iisor-st:iisor_aehost:4daece1
iisor-uboot:main-anklehold:3984caf
linux-kernel-v5.10:iisor-ah-custom:feeab16d3
napsystem:nap64-2ndstage:edca2145
pondelink:plane:6599296
iisorlibs:master:17fb5f3
mount_win:mount_win_i_drive:2d32fc2"
